period,Belgium – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/BEL.CPGRLE01.IXOB.M),Switzerland – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/CHE.CPGRLE01.IXOB.M),Germany – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/DEU.CPGRLE01.IXOB.M),Israel – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/ISR.CPGRLE01.IXOB.M),Korea – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/KOR.CPGRLE01.IXOB.M),Lithuania – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/LTU.CPGRLE01.IXOB.M),Latvia – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/LVA.CPGRLE01.IXOB.M),Norway – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/NOR.CPGRLE01.IXOB.M)
2000-01-01,76.874843490501,94.456653539029,83.3832129553704,79.5809659090909,68.4445079198834,78.4411,63.9466113452381,76.284181
2000-02-01,77.0630911073399,94.7087481507249,83.3959992747978,79.0482954545454,68.5830959616397,78.8571,64.2735072685185,76.572285
2000-03-01,77.251150594695,94.4931610580578,83.2418644125622,78.6221590909091,69.0676251457951,78.8034,64.3408093703704,76.688432
2000-04-01,77.2937175592116,94.513401254058,83.3279421388054,79.2613636363636,69.1374481286647,78.7125,64.5811740198413,77.076701
2000-05-01,77.3633700694282,94.393898992954,83.1001220059217,79.9005681818182,68.9300950280218,78.6951,64.3215801984127,77.169926
2000-06-01,77.4888579844795,94.4193113165101,83.2489296750355,80.2201704545454,68.9988600869084,78.6237,64.2638926825397,77.413283
2000-07-01,77.7092290824843,94.4926054179391,83.7358836993807,80.2201704545454,69.276036170421,78.3803,64.2062051666667,77.101891
2000-08-01,77.7770080580188,94.530837069727,83.589717980156,79.9005681818182,69.4135662881944,78.222,64.0908301349206,77.296544
2000-09-01,77.9663563768532,94.481110708237,83.3740231512598,79.1548295454546,69.7595074305936,78.286,64.1196738928571,77.877244
2000-10-01,77.8708031380107,94.4958338177771,83.3813861874615,79.4744318181818,69.8293304134631,78.3229,64.3119656124339,77.907151
2000-11-01,78.050117317071,94.9115336724622,83.378411617982,79.4744318181818,69.8293304134631,78.2046,64.5234865039683,78.164805
2000-12-01,78.1263804929167,94.9383291905833,84.2877956898844,79.5809659090909,70.0366835141061,77.8916,64.4273406441799,78.102089
2001-01-01,78.1684604144746,95.2719986420069,83.8488962208962,79.2613636363636,70.6608586640007,78.3509,64.5811740198413,78.609565
2001-02-01,78.4873336703614,95.1298957772293,84.1556876360768,79.0482954545454,70.9380347475132,77.9446,64.3215801984127,79.201107
2001-03-01,78.5606315458442,95.2573170630965,84.0599459908148,79.2613636363636,71.4225639316687,77.9911,64.6196323637566,79.334304
2001-04-01,78.8924156559321,95.3351451923059,84.2653169411876,80.0071022727273,71.6309749562945,78.0074,64.8119240833333,79.493743
2001-05-01,79.1173424199714,95.7453374959313,84.2075139919951,80.1136363636364,71.7685050740679,78.1079,65.1676637645503,79.645941
2001-06-01,79.242053245681,95.7394558182701,84.3758986998555,80.4332386363636,71.8393859809204,78.0035,65.1484345925926,79.662307
2001-07-01,79.4517939193888,95.8168988416314,84.752836946804,81.0724431818182,71.7685050740679,77.7747,65.1965075224868,79.687767
2001-08-01,79.5053890442454,95.3170996123419,84.7248800062509,81.2855113636364,71.908151039807,79.1054,65.1868929365079,79.628153
2001-09-01,79.6849207500275,95.3557454273812,84.636900540699,81.2855113636364,72.0467390815633,79.0499,65.7156951653439,80.136875
2001-10-01,79.7152047594629,95.2690268757917,84.7931483292847,81.2855113636364,72.0467390815633,79.2074,65.8599139550264,80.339648
2001-11-01,80.0246400921416,95.798509094873,84.7453999951378,80.859375,72.1144462164671,79.4647,65.8406847830688,80.470821
2001-12-01,80.0249762710766,95.8052584338175,85.7147875852051,80.859375,72.3228572410929,79.2225,65.5714763756614,80.735473
2002-01-01,80.2452441196551,95.7281504830252,85.3271960079482,81.9247159090909,72.6010912485883,79.0543,65.5137888597884,80.503479
2002-02-01,80.6321606771718,95.8360904644337,85.6693665322554,82.6704545454546,72.8084443492313,78.8352,65.3311117261905,80.605597
2002-03-01,80.7052109959599,95.8457435082912,85.7733486958766,83.3096590909091,73.431561575143,78.545,65.8791431269841,81.0752
2002-04-01,80.5308791708727,96.529592390557,85.4702657251446,84.375,73.7785606415251,78.7398,66.061820260582,81.232084
2002-05-01,80.6361500842405,96.6893131560432,85.7157178641228,85.4403409090909,73.9171486832814,78.8167,66.1483515343915,81.560685
2002-06-01,80.685909823181,96.6486658093073,85.8837139878269,86.71875,73.9171486832814,78.7366,65.7637680952381,81.619236
2002-07-01,80.9446363478864,96.0233453555498,86.0743514742497,87.0383522727273,73.9869716661509,78.8831,65.946445228836,81.408491
2002-08-01,80.9937796510014,96.0581760678872,86.0435920816559,86.2926136363636,74.1245017839243,78.6572,65.946445228836,81.031286
2002-09-01,81.025600240008,96.0587668215416,85.9790205877834,86.2926136363636,74.3329128085501,78.804,66.6098516613756,81.396399
2002-10-01,80.9118830896388,96.7342985685543,85.8599818440389,86.8252840909091,74.541323833176,79.2147,67.0521226164021,81.72327
2002-11-01,81.0664432102571,96.7290249205675,85.769457574637,86.1860795454546,74.6788539509494,79.337,66.9271329986772,81.75518
2002-12-01,81.2278716284959,96.703304777038,86.6337711640786,86.0795454545454,74.8872649755752,79.247,66.648310005291,81.820415
2003-01-01,81.3608913735696,96.4852517255296,86.108645081983,86.1860795454546,75.1644410590877,79.0681,67.0713517883598,82.391973
2003-02-01,81.8546029425176,96.5368786998876,86.4508610115041,86.2926136363636,75.3717941597306,78.9594,66.8886746547619,82.589339
2003-03-01,81.9229718473726,96.6060370244002,86.4754558543566,86.1860795454546,76.1334994273986,79.0504,67.2251851640212,82.458811
2003-04-01,81.9755579011102,97.1828859292478,86.3836792457987,86.0795454545454,76.3419104520245,79.1142,67.6386123611111,82.453323
2003-05-01,81.8680591082788,97.20225183631,86.296856029299,85.4403409090909,76.4106755109112,79.3431,67.9270499404762,82.315246
2003-06-01,82.0285088203179,97.1922432754234,86.57484364389,85.0142045454546,76.4804984937807,79.3345,68.0231958002646,82.058251
2003-07-01,82.2142580507398,96.3033055859094,86.8409477636561,84.4815340909091,76.4106755109112,78.9515,67.9078207685185,81.654033
2003-08-01,82.3213226498652,96.3793369388514,86.8638319914726,84.8011363636364,76.4804984937807,78.6352,67.8597478386244,81.568643
2003-09-01,82.3847448848491,96.3761104039814,86.7419105446116,84.1619318181818,76.6878515944237,78.2665,68.6769876468254,81.894009
2003-10-01,82.3764078200759,97.026325863259,86.7245330189021,84.2684659090909,76.6878515944237,78.3834,69.2827065634921,82.087985
2003-11-01,82.5686455737717,97.0372049129609,86.5284215643637,83.9488636363636,76.619086535537,78.6203,69.3980815952381,81.941102
2003-12-01,82.6830982994675,97.0494235410426,87.3778401317686,83.6292613636364,77.0348506608058,78.3767,69.1865607037037,81.896315
2004-01-01,82.7556358534999,96.5517913443123,87.1865310705538,83.3096590909091,77.2432616854316,78.1066,69.3884670092593,81.782373
2004-02-01,83.1991099355975,96.6723421685875,87.4855645297651,83.4161931818182,77.3120267443183,77.8562,69.6096024867725,81.893928
2004-03-01,83.1189715394406,96.7364716472191,87.760177375433,83.4161931818182,77.93514397023,78.2349,70.2633943333333,82.347206
2004-04-01,83.4428037690794,97.6478700377328,87.9756546816765,84.375,78.0049669530996,78.5347,70.6479777724868,82.481529
2004-05-01,83.5463118216175,97.7067051331429,87.9429027393462,84.8011363636364,78.0737320119863,79.2682,71.4267592367725,82.415462
